explain,org,service
국토계획법의 결정/지형도면/실시계획인가고시에 대한 정보,국토교통부,(도시계획)용도지역정보서비스
새우편번호 시행(2015.8.1)에 따른 도로명주소에 해당하는 우편번호를 제공,과학기술정보통신부 우정사업본부,도로명주소 우편번호 조회서비스
"음양력 날짜, 율리우스적일날짜, 조회기간 등을 기준으로 음력일정보, 양력일정보, 특정음력일정보, 율리우스적일정보를 조회하는 음양력 정보제공 서비스 입니다.",한국천문연구원,음양력 정보제공 서비스
경상북도 시군의 음식점 정보,경상북도,경상북도 대표음식점
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
"대기오염집중측정소 대기오염 측정자료를 기준으로 대기중 중금속 성분을 2시간, 24시간 평균 측정 자료의 정보를 조회",환경부 국립환경과학원,대기오염집중측정소 대기오염측정자료
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"전주시 자전거 판매소 대리점(상호, 주소, 전화번호 등)",전라북도 전주시,전라북도 전주시 자전거판매소_20151030
"전주시 자전거 대여소 위치, 운영시간, 이용요금, 보유대수 등",전라북도 전주시,전라북도 전주시_자전거대여소_20170831
"관광지, 음식, 숙박, 축제 정보 등 국문 기초 관광정보를 제공하는 서비스",한국관광공사,국내여행 관광정보 서비스
"국립국어원에서 제공하는 표준국어정보 중 순화어 외래어, 합성어, 신조어 등을 한국어로 순화한 언어로 약 19,421건의 데이터를 목록과 내용조회가 가능하다.",문화체육관광부 국립국어원,순화어 서비스
"ㅇ 국민복지관광 서비스(취악계층의 장애요인 해소)
-장애인,어르신,영유아를 동반한 여행의 어려움 해소를 위한 관광정보 제공 서비스
-국문 무장애여행 정보를 위치기반,지역기반,통합검색을 통해 상세 정보 제공 서비스",한국관광공사,무장애 여행 정보 서비스
"업체정보, 품목정보, 형명정보, 제조번호 등의 의료기기의 회수판매중지처분 정보",식품의약품안전처,의료기기 회수·판매중지 서비스
"품목명, 의료기기품목허가번호, 허가일자, 등급, 업체명, 사용목적 등의 허가받은 의료기기 품목허가 정보",식품의약품안전처,의료기기 품목 허가 서비스
"품목, 주성분, 제조원, 포장단위, 저장방법, 성상등의 품목정보와 허가일자, 허가번호 등의 허가정보 등의 허가받은 의약제품 정보",식품의약품안전처 식품의약품안전평가원,의약품 제품 허가정보 서비스
"업체명,업종구분코드,허가일자 등의 허가받은 의료기기 제조(수입) 업체 정보",식품의약품안전처,의료기기 제조·수입업 허가정보 서비스
"명칭, 주소, 대표자정보, 공장정보 등의 허가받은 의약품 업체정보와 허가번호, 허가일자 등의 허가정보",식품의약품안전처 식품의약품안전평가원,의약품 등 업체 허가 서비스
"품목정보, 업체정보, 제조원정보, 심사정보 등의 의료기기 GMP 지정 현황 정보",식품의약품안전처,의료기기 GMP 지정현황 서비스
"2016년도 지역별 지역안전지수 등급 현황_7개분야(화재, 교통, 범죄, 안전사고, 자살, 감염병, 자연재해)",행정안전부,지역안전지수 등급현황(2016)
"부동산 거래신고에 관한 법률에 따라 신고된 아파트(매매/전월세), 연립다세대(매매/전월세), 단독다가구(매매/전월세), 오피스텔(매매/전월세), 토지(매매) 자료를 제공",국토교통부,실거래가 정보(일간)
"매년 공공기관으로 지정된 기관의 경영정보(기관소개 및 조직현황 등 일반현황정보, 임직원수 및 임원연봉 등 기관운영정보, 대차대조표, 감사보고서 등 경영성과정보, 경영평가 지적사항 등 대내외 평가정보, 수의계약 정보, 공공기관 정상화 추진사항)를 공시",기획재정부,"공공기관 경영공시(기관별, 분기별)"
영화입장권 발권정보를 전국영화관을 대상으로 수집 및 집계하여 일간/주간/월간 등의 통계자료를 생성하여 홈페이지를 통해 국민 업계 등에 제공,영화진흥위원회,영화박스오피스정보
,기타,"서울특별시 상권분석서비스 정보, 공정거래위원회 가맹사업정보공개"
,기타,"문화재청 문화재정보,·국립중앙박물관 유물정보"
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"주소, 동물약국명 등을 기준으로 동물약국 정보를 제공하는 동물약국 정보 현황 서비스",전라북도 전주시,동물약국 정보 현황
"주소, 동물병원명 등을 기준으로 동물병원 정보를 조회하는 동물병원 정보 현황 서비스",전라북도 전주시,동물병원 정보 현황
"주소, 유기동물보호소명 등을 기준으로 유기동물보호소 정보를 제공하는 유기동물보호소 정보 현황 서비스",전라북도 전주시,유기동물보호소 정보 현황
"주소, 대행업소명 등을 기준으로 동물등록제 대행업소 정보를 조회하는 동물등록제 대행업소 정보 현황 서비스",전라북도 전주시,동물등록제 대행업소 정보 현황
"식품의 영양성분 함량 정보(열량, 탄수화물, 단백질, 지방, 비타민, 무기질 등)를 조회하는 서비스",식품의약품안전처,식품 영양성분 함량정보 서비스
"위해요소중점관리기준 정보, 지정현황 등 제공",식품의약품안전처,"HACCP지정현황 (업체명, 소재지, 지정품목, 식품군, 지정일)"
,기타,식품의약품안전처 가공식품의 어린이 품질인증 정보 및 영양성분정보
"생활기상정보에 지진정보 중 지진정보문,지진정보문목록,지진해일통보문,지진해일통보문목록 정보를 조회하는 서비스입니다.

* 2017.7.3 이후 지진속보문, 지진속보문목록이 삭제되고 지진정보문,지진정보문목록에 통합됨",기상청,지진정보조회서비스
,기타,식품의약품안전처 : 살충제 달걀 검출 정보
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"전국 병?의원 정보를 조회하기 위한 서비스로서 주소별, 기관별로 조회할 수 있다",국립중앙의료원,전국 병?의원 찾기 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 일문으로 제공한다.",한국관광공사,일문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)",국토교통부,아파트매매 실거래 상세 자료
"지역, 기간을 검색 조건으로 하여 가격지수 통계를 조회 할 수 있는 서비스로 실거래가격지수 통계는 아파트 시럭래가격지수로 이루어져 있다.",한국감정원,실거래가격지수 통계 조회 서비스
한국감정원에서 생산하는 통계지표 중 아파트실거래가격지수를 조회하기 위한 서비스로 기간과 지역코드를 기반으로 아파트실거래가격지수 정보를 조회 할 수 있다.,한국감정원,아파트실거래가격지수 조회 서비스
서울시 공중화장실 현황정보를 제공합니다.,서울특별시,서울시 공중화장실 위치정보 (수시)
,기타,"문화체육관광부 : 박물관 정보, 서울시 : 공공시설(도서관,공원 등)정보"
"관광 지명, 음식명, 주요 시설 명 등 관광안내 번역에 필요한 외국어(영, 일, 중) 표기 검색 지원",한국관광공사,관광용어 외국어 용례사전
,기타,서울 열린 데이터 광장 : 지하철 정보
"국가기술자격의 등급별(기능사, 산업기사, 기사, 기술사, 기능장, 전문사무, 기능사보) 통계자료를 연도별, 성별로 구분하여 응시자 수 및 합격률을 제공한다.",한국산업인력공단,국가기술자격 통계 정보
"정류소ID, 노선ID, ARSNO 등을 기준으로 정류소정보, 노선정보, 노선경로정보, 도착예정정보를 조회하는 부산버스정보시스템 조회서비스.",부산광역시,부산버스정보시스템
LH 각종 공지 공고사항 목록,한국토지주택공사,LH 공지사항
"LH 전국 임대주택단지 지역별 유형별 세대수, 형별, 임대보증금, 월임대료, 입주일, 위치도 조회 서비스",한국토지주택공사,LH 임대주택단지 정보 조회 서비스(수시)
,기타,LH주택공사 공고 정보
,기타,한강 구리 측정소 : 온도 및 수질지수 정보
서울시 공중화장실 현황정보를 제공합니다.,서울특별시,서울시 공중화장실 위치정보 (수시)
,기타,서울시 우리말 문제 정보
,기타,"교육청 : 전국 초, 중, 고등학교 목록 정보"
,기타,기상레이더센터 실시간 강수 레이더영상 정보
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"서울시 각 자치구에 위치한 장난감도서관의 위치 정보로 도서관명, 도로명주소, 지번주소, 위도, 경도 등의 정보를 제공하는 서비스입니다.※ Shape 파일의 기본 인코딩 셋팅은 UTF-8로 설정되어 있습니다.(ArcGIS 10.2.1 version 기준)",서울특별시,서울시 장난감 도서관 위치 현황 (수시)
,기타,서울시 장난감 대여소 정보
"지하철역명을 기준으로 첫차, 막차를 조회하는 서비스입니다.",서울특별시,서울시 지하철 첫차 및 막차 정보
"지하철역명을 기준으로 역의 운영기관, 우편번호, 주소 등을 조회하는 지하철 역사 정보 서비스입니다.",서울특별시,서울시 지하철 역사 정보
"지하철호선명을 기준으로 정차역수, 기본요금, 배차간격 등을 조회하는 지하철 호선 정보 서비스입니다.",서울특별시,서울시 지하철 호선 정보
지하철역명을 기준으로 열차 도착 예정시간 등을 조회하는 지하철 실시간 도착 정보 서비스입니다.,서울특별시,서울시 지하철 실시간 도착정보
"지하철호선명을 기준으로 지하철역명, 열차상태, 급행여부 등의 실시간 정보를 조회하는 지하철 실시간 열차 위치정보 서비스입니다.",서울특별시,서울시 지하철 실시간 열차 위치정보
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 전월세 자료(단독다가구, 면적등)를 제공하는 단독다가구 전월세 신고 조회 서비스",국토교통부,단독/다가구 전월세 자료
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
인천공항 여객 항공기 출발 / 도착 정보 현황조회(다국어),인천국제공항공사,[인천공항] 여객편 운항현황 (다국어)
"한국공항공사에서 제공하는 항공코드정보,국내선 운항스케줄,국제선 운항스케줄, 실시간 운항정보",한국공항공사,항공기 운항정보
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)",국토교통부,아파트매매 실거래 상세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
광주광역시 BIS 정류소 정보,광주광역시,광주광역시 BIS 정류소 정보
광주광역시 BIS 도착정보,광주광역시,광주광역시 BIS 도착정보
광주광역시 BIS 노선정보,광주광역시,광주광역시 BIS 노선정보
광주광역시 BIS 노선-정류소 정보,광주광역시,광주광역시 BIS 노선-정류소 정보
"인천국제공항공사 여객터미널 상업시설 취급 품목,위치,전화번호 정보 서비스",인천국제공항공사,[인천공항] 상업시설 정보 서비스
"터미널 구분값을 검색 조건으로 하여 인천공항 출국장별(제1여객터미널 2번,3번,4번,5번/ 제2여객터민러 1번,2번) 대기인원, 터미널구분, 출국장별 혼잡도 현황을 조회하는 기능",인천국제공항공사,출국장 현황 정보 서비스
인천공항 여객편 승객 예고 - 출입국별(국문) 조회일로부터 +1일간,인천국제공항공사,승객 예고 - 출입국별(국문)
"인천공항 T1 주차장별(단기주차장 지하1층/지하2층/지하3층/지상층, 장기주차장 P1/P2/P3/P4, 주차타워 P2/P1) 주차한 차량수 및 T2 주차장별(장기주차장, 단기주차장 지하1층/지하M층/지상1층) 정보를 나타내는 주차장 현황 정보 서비스",인천국제공항공사,[인천공항] 주차정보
"서울도서관의 자료명, 저자, 출판사 등을 기준으로 서지정보를 조회하는 소장자료 현황 서비스입니다.",서울특별시,서울도서관 소장자료 현황
,기타,질병관리본부 질병정보
행위제한 관련 법률(조문) 자료,국토교통부,토지이용계획
전국 연속지적도,국토교통부,지적도
표준지공시지가를 기준으로 산정한 개별토지의 단위면적당 가격정보,국토교통부,개별공시지가정보(수시)
,기타,법무부 건축법규
공항주차장 주차현황 정보 API서비스,한국공항공사,실시간 공항주차정보서비스
,기타,"보건복지부, 식품의약품안전처, 건강보험심사평가원 고시정보"
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 전월세 자료(단독다가구, 면적등)를 제공하는 단독다가구 전월세 신고 조회 서비스",국토교통부,단독/다가구 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 오피스텔 전월세 자료(오피스텔, 면적, 지번 등)를 제공하는 오피스텔 전월세 신고 조회 서비스",국토교통부,오피스텔 전월세 신고 조회 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 토지 매매자료(토지,면적등)를 제공하는 토지 매매 신고 조회 서비스",국토교통부,토지 매매 신고 조회 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 오피스텔 매매 자료(오피스텔, 면적, 지번 등)를 제공하는 오피스텔 매매 신고 조회 서비스",국토교통부,오피스텔 매매 신고 조회 서비스
"한식, 양식, 일식, 중식 등 전국의 음식점 정보 제공(2014.12.22)",한국관광공사,전국 음식점 정보(2014.12.22)
국립공원내 야영장에 대해 이동식 GPS측량 및 시설물 조사를 통해 구축되어 제공됩니다.,국립공원관리공단,국립공원 야영장
인천공항 여객편 승객 예고 - 출입국별(국문) 조회일로부터 +1일간,인천국제공항공사,승객 예고 - 출입국별(국문)
인천공항 여객 항공기 출발 / 도착 정보 현황조회(다국어),인천국제공항공사,[인천공항] 여객편 운항현황 (다국어)
공항별 여객 항공기 출발 조회일로부터 +6일간 운항정보 현황조회 공항별 여객 항공기 도착 조회일로부터 +6일간 운항정보 현황조회,인천국제공항공사,[인천공항]여객편 주간 운항현황
특정 정류소에 대한 버스 도착예정 정보 제공,서울특별시,버스도착정보조회 서비스
정류소에 대한 정보 제공,서울특별시,정류소정보조회 서비스
"해당 노선의 운행차량에 대한 현재 위치(정류소)와 막차, 저상버스 여부 등에 대한 실시간 운행정보를 제공한다.",경기도,버스 위치 정보 조회 서비스
"정류소와 노선번호을 기준으로 첫번째/두번째 도착예정 버스의 위치정보와 도착예정시간, 빈자리, 저상버스 정보를 제공하는 버스도착정보조회 서비스",경기도,버스 도착 정보 조회 서비스
노선에 대한 정보 제공,서울특별시,노선정보조회 서비스
"경기도 관할 버스의 노선 및 정류소, 노선별 경유정류소, 노선형상, 운행지역 정보(텍스트 파일)를 내려 받기 위한 버스기반정보 조회서비스",경기도,기반정보 관리 서비스
"전국 및 지방자치단체 시내버스의 실시간 위치정보를 버스 노선별, 노선 정류소별로 조회한다.
시내버스 정류장정보, 노선정보, 도착예정정보, 노선운행정보, 위치정보 테이블에 실시간 정보로 제공된다.",국토교통부,버스위치정보조회서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
인천공항 여객편 승객 예고 - 출입국별(국문) 조회일로부터 +1일간,인천국제공항공사,승객 예고 - 출입국별(국문)
,기타,도로교통공단 학과시험 문제
,기타,"국토교통부 비행공역정보, VWorld Mashup 정보"
서울시 각 구별 방범용cctv 설치 현황,경찰청 서울특별시지방경찰청,"서울시 각 구별 방범용cctv 설치 현황(2011년, 2012년)"
"서울시내 시영주차장, 구영주차장의 정보, 주차장 주소, 주차장 형태(노상, 노외, 부설주차장), 운영시간, 총 주차면수 등 주차장 운영에 관련된 정보입니다. (제공되는 정보는 일반시민이 이용가능한 공영, 공공 부설주차장을 안내하고 있으며, 주차장 여건에 따라 실제 정보와 다를 수 있습니다.) (* 데이터 연동주기는 1분입니다.)",서울특별시,서울시 주차장 정보 (일간)
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
"서울의 산과 공원, 생태탐방지역별 리스트의 공원명, 주소, 전화면 등 데이터를 제공(한국어)",서울특별시,서울시 산과공원 생태관광 정보 (한국어) (수시)
"문화관광축제,일반축제,전통공연,연극,뮤지컬 등의 축제/행사/이벤트 정보",한국관광공사,한국관광공사LOD(국문축제/행사/이벤트)
,기타,"한국관광공사 : 공연장정보, 문화체육관광부 문화포털 : 문화공간정보"
,기타,문화체육관광부/문화포털 : 문화생활 정보
,기타,서울시교통정보과 : 교통정보
,기타,"농림축산식품부: 전통향토음식정보, 표준식품성분정보, 민간가공식품DB"
한국인이라면 꼭 가봐야할 한국의 대표 관광지 100선에 대한 관광정보 제공,한국관광공사,2016 한국관광 100선 관광정보
"전국의 자연 관광지, 문화, 역사 관광지 등 관광정보 제공",한국관광공사,2016 전국 관광지 정보
1호선 역 주소 및 전화번호 자료,인천교통공사,각 역 주소 및 전화번호 안내
1~4호선 역별 주소 및 전화번호 정보입니다.(2016년 9월),서울교통공사,역별 주소 및 전화번호(2016 9월)
"지하철 다국어(한글,한자,영어,중국어,일어) 역명 정보가 있는 데이터입니다.(2016년 9월)",서울교통공사,지하철 다국어 역명 정보(2016년 9월)
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"초단기실황, 초단기예보,동네예보 정보를 조회하는 서비스입니다.",기상청,(신)동네예보정보조회서비스
2010년 제6차 한국인인체치수조사 남성 인체치수 데이터,산업통상자원부,인체치수(남성)
2010년 제6차 한국인인체치수조사 여성 인체치수 데이터,산업통상자원부,인체치수(여성)
색채표준정보 조회,산업통상자원부,색채표준정보
"지역, 기간을 검색 조건으로 하여 가격지수 통계를 조회 할 수 있는 서비스로 실거래가격지수 통계는 아파트 시럭래가격지수로 이루어져 있다.",한국감정원,실거래가격지수 통계 조회 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번 등)를 제공하는 아파트 매매 신고 조회 서비스(코드포함)",국토교통부,아파트매매 실거래 상세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
"법정동, 도로명 아파트 목록 제공",국토교통부,공동주택 단지 목록제공 서비스
공동주택 기본 정보 제공,국토교통부,공동주택 기본 정보제공 서비스
단지별 공용관리비 정보 제공,국토교통부,공동주택관리비(공용관리비)정보제공서비스
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
"단지별 장기수선 충당금(월사용액, 월부과액, 충당금잔액, 적립요율) 정보 제공",국토교통부,공동주택관리비(장기수선충당금)정보서비스
단지별 개별사용료 정보 제공,국토교통부,공동주택관리비(개별사용료)정보제공서비스
"경기도 관할 버스의 노선 및 정류소, 노선별 경유정류소, 노선형상, 운행지역 정보(텍스트 파일)를 내려 받기 위한 버스기반정보 조회서비스",경기도,기반정보 관리 서비스
"정류소와 노선번호을 기준으로 첫번째/두번째 도착예정 버스의 위치정보와 도착예정시간, 빈자리, 저상버스 정보를 제공하는 버스도착정보조회 서비스",경기도,버스 도착 정보 조회 서비스
"해당 노선의 운행차량에 대한 현재 위치(정류소)와 막차, 저상버스 여부 등에 대한 실시간 운행정보를 제공한다.",경기도,버스 위치 정보 조회 서비스
,기타,부산광역시 : 교통정보센터 교통정보
"단지별 장기수선 충당금(월사용액, 월부과액, 충당금잔액, 적립요율) 정보 제공",국토교통부,공동주택관리비(장기수선충당금)정보서비스
단지별 개별사용료 정보 제공,국토교통부,공동주택관리비(개별사용료)정보제공서비스
단지별 공용관리비 정보 제공,국토교통부,공동주택관리비(공용관리비)정보제공서비스
,기타,서울열린데이터 광장 : 위치정보
"사건 사고가 발생한 국가명, 대륙, 사건사고 현황 등 목록정보 및 사고 내용에 대한 상세 정보를 조회할 수 있다.",외교부,사건사고 현황
외교부에서 지정하는 여행금지 국가 목록정보 및 상세정보를 조회할 수 있다.,외교부,여행금지제도
여권 분실 등 해외 여행 중 도움이 필요한 경우 해외 국가의 현지 대사관 연락처 등 연락처 목록 및 상세정보 조회가 가능하다.,외교부,현지 연락처
"출국 전 꼭 참고해야할, 국가의 공지사항 목록정보와 상세정보를 조회할 수 있다.",외교부,국가별 공지사항 목록조회
소상공인 창업 기초자료로써 상가정보 활용성을 확대하고자 상가업소 정보를 제공합니다.,소상공인시장진흥공단,소상공인 상가업소 정보 서비스
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
표준지공시지가를 기준으로 산정한 개별토지의 단위면적당 가격정보,국토교통부,개별공시지가정보서비스
"울산지역 버스(지선, 마을, 리무진 등)의 배차 시간표 제공입니다.",울산광역시,울산지역 시내버스 운행시간표(수시)
공연전시정보조회서비스,한국문화정보원,공연전시정보조회서비스
,기타,"법원 경매정보, 온비드 매물정보"
"식품의 영양성분 함량 정보(열량, 탄수화물, 단백질, 지방, 비타민, 무기질 등)를 조회하는 서비스",식품의약품안전처,식품 영양성분 함량정보 서비스
,기타,문화체육관광부 세종학당재단 : 한국어·한국문화교육자료 데이터
"나라장터 개찰결과를 물품, 공사, 용역, 외자의 업무별로 제공하는 서비스로 각 업무별로 최종낙찰자, 개찰순위, 복수예비가 및 예비가격 정보를 제공하며 개찰완료목록, 재입찰목록, 유찰목록 또한 제공",조달청,나라장터 낙찰정보서비스
"나라장터에 등록된 조달업체와 수요기관에 대한 정보를 제공하는 서비스로 조달업체정보에는 사업자등록번호, 업체명, 업체주소, 업체의 등록업종정보, 업체의 공급물품정보가 포함되며 수요기관정보에는 수요기관코드(행자부코드가 기본으로 제공되며 행자부코드가 없을 경우 나라장터 수요기관코드가 제공됨), 소관구분, 주소, 최상위기관코드, 최상위기관명 등이 포함됨",조달청,나라장터 사용자정보서비스
"수요기관 또는 지방청으로부터 나라장터를 통하여 받은 조달요청 정보를 제공하는 서비스로 물품, 공사, 용역, 외자 등 업무 구분별로 조달요청번호, 계약체결형태명, 대표납품장소, 발주기관 내역 정보를 제공",조달청,나라장터 조달요청서비스
"발주기관들이 나라장터에 등록한 발주계획정보를 제공하는 서비스로 각 발주기관들이 당해 회계연도에 조달할 공사, 물품, 용역, 외자에 대한 분기별 발주계획(조달대상, 예산액, 발주예정시기, 발주방법, 발주기관 주소, 연락처 등) 공고 내역를 제공",조달청,나라장터 발주계획현황서비스
