폐기물처리정보,"발전소에서 배출되는 폐기물(석탄회, 탈황석고) 출고량 데이터",2017-11-14,2017-11-20,ICT기획부,070-7511-1613,['발전소 반출 폐기물처리정보 조회']
말등록정보,경주시행에 필요한 경주마의 등록정보(주간),2014-12-19,2017-10-16,"정보기술처,ICT혁신단",02-6006-3233,['말등록정보']
전국어린이놀이시설코드정보서비스,"○ 제공내용 : 전국어린이놀이시설의 행정구역코드 및 공통코드 정보(행정구역코드정보조회, 놀이시설공통코드정보조회)를 제공한다.
○ 제공시스템 : 어린이 놀이시설안전관리시스템(www.cpf.go.kr)",2013-12-02,2017-11-24,정보통계담당관실,02-2100-3050,"['행정구역코드정보조회', '놀이시설공통코드정보조회']"
최근 경주마정보,서울경마장 소속의 경주마 정보,2014-12-21,2014-12-23,"정보기술처,ICT혁신단",02-6006-3233,['경주마정보']
대전광역시 문화관광(관광지),대전의 문화관광 (관광지) 정보 입니다.,2013-12-31,2017-12-12,,,"['대전광역시 문화관광 관광지 목록', '대전광역시 문화관광 관광지 목록', '대전광역시 문화관광 관광지 상세정보', '대전광역시 문화관광 관광지 상세정보']"
식물자원 서비스,"식물자원의 항목별 정보 및 상세정보를 조회할수 있는 서비스로서 식물도감,희귀식물,특산식물,식물표본, 식물자원, 기준표본, 식물종자, 보유식물, 보호림, 보호수, 식물세밀화, 관속식물 분포, 민속식물, 귀화식물 정보등을 조회할수 있다.",2016-06-22,2017-09-12,연구기획팀,031-540-1086,"['식물표본정보 검색', '식물도감정보 검색', '식물도감정보 조회', '식물표본정보 조회', '식물종자정보 검색', '식물종자정보 조회', '보호림정보 검색', '보호림정보 조회', '민속식물정보 검색', '민속식물정보 조회', '귀화식물정보 검색', '귀화식물정보 조회']"
대구광역시 중구_CCTV,대구 중구 CCTV 설치정보 조회하기 위한 서비스,2014-09-30,2014-10-01,,,['CCTV 설치정보 조회 서비스']
대전광역시도시철도공사 열차시각표,역별 열차운행 시각표를 보여주는 서비스,2014-04-22,2014-07-16,,,"['전역시각표조회', '역별시각표조회']"
기반정보 관리,"일일 전체 노선 및 정류소, 노선별 경유정류소, 노선경로, 운행지역에 관한 기반정보(텍스트 파일)를 다운로드 받을 수 있는 REST, SOAP방식의 API로제공한다.",2011-12-08,2017-01-23,교통정보과,031-8008-6834,['기반정보항목조회']
경상남도 인구현황,경상남도 인구 현황,2018-04-09,2018-04-13,정보통계담당관,055-211-2653,['경상남도 인구현황']
서울특별시 지하철 정보,서울시 지하철 관련 정보를 제공합니다.,2016-10-28,2016-11-02,정보시스템담당관,02-6361-3192,['서울시 지하철 환승 정보']
해양수질자동측정망 정보,"전국 주요연안 및 근해 수질 상시측정을 통하여 향후 해양환경 상태 측정 및 변화를 예측·예보 할 수 있는 실시간 해양수질자료, 정제한 자료는 한달에 한번씩 meis.go.kr에서 갱신되며 해수일반(수온,염분등 6개), COD,TN,TP등의 자료를 5분 단위로 측정(API)",2017-08-30,2017-12-28,정보화,02-3498-8646,['해양수질자동측정망 정보']
해양관광레저정보,"o 해수욕장, 드라마 촬영지, 일출명소 등 주요 연안의 해양 관광지 정보 및 위치데이터
o 관광지 인근 숙박 및 음식점 데이터",2015-05-19,2015-06-09,,,['해양관광.레저 정보 서비스']
고층자료,"레윈존데는 지상으로부터 30km이상 상공까지의 기압, 기온, 이슬점 온도, 풍향·풍속을 하루 2회(오전 9시(00UTC), 오후 9시(12UTC)) 관측합니다.

윈드프로파일러로 부터 관측된 자료를 DB에서 조회하고 CSV파일로 다운로드 받으실 수 있습니다.",2016-11-15,2016-12-05,국가기후데이터센터,02-2181-0887,['고층관측자료(레윈존데) 월값(월보) 정보조회서비스']
[산업인력] 해외진출 정보,해외취업 주요 국가의 일반적인 해외 현지 국가별 정보,2018-03-28,2018-05-02,정보화사업2팀,052-714-8178,[]
부동산중개업 정보,"공인중개사 등록 및 증감 현황, 단속, 행정조치 등의 부동산중개업에 관한 사항",2017-01-03,2017-12-21,도시계획실 토지정보과,051-888-2614,"['부동산 중개업 목록', '중개 보조원 정보']"
관광자원정보,전국 관광자원 기본 정보 제공,2014-12-24,2018-02-20,"통계평가센터,통계평가센터",02-2669-8473,"['관광자원리스트조회', '관광자원상세조회']"
생활법령 백문백답 서비스,"100문100답은 내집 마련, 나홀로 소송, 금전거래, 가정법률상담, 소비자보호, 자동차 생활, 범죄(폭행, 성폭력), 음식점, 창업, 문화·여가생활, 근로자, 어린이, 병역의무 등 실생활에서 꼭 필요한 12개 분야를 선정하여, 실제 문제되는 사례들을 분야별 약 100개 내외를 선정하고(분야마다 문제수에는 다소 차이가 있습니다), 이에 대한 실무적인 답변을 제공하는 오픈 API 입니다.",2011-12-03,2017-01-25,법제정보과,044-200-6788,"['분류목록조회', '분류별백문백답목록조회', '백문백답항목조회']"
국토교통부_국내항공운항정보,"국내 항공운항정보에 대해 항공기정보, 항공사정보, 운임정보 등을 조회할 수 있다. 항공운항정보는 항공운항정보 목록, 공항목록, 항공사 목록조회가 가능하다.",2013-12-09,2018-01-16,신교통개발과,044-201-3822,"['항공운행정보목록 조회', '공항목록 조회', '항공사 목록 조회']"
광주광역시 버스 관련 정보,광주 시내버스 운행 정보 제공,2015-10-27,2015-11-05,대중교통과,062-613-4524,['버스카드충전소 위치']
한국시설안전공단 시설물 사고발생 정보,"시설물의 사고에 대한 상세 자료(시설물명, 종류, 위치, 시설물형식, 사고일자, 사고발생부위, 사고원인, 사고 내용 등)에 대한 데이터",2017-12-28,2017-12-28,운영지원실,031-910-4022,['사고사례 정보']
한국스포츠개발원 연구자료,한국스프츠개발원 연구자료,2015-12-07,2017-09-18,정보기획팀,02-410-1261,['연구과제종합보고서 목록조회']
특용작물생산통계,"매년 생산되는 특용작물(유지섬유, 기호, 약용작물 등) 생산실적 통계자료",2014-12-16,2014-12-18,정보화담당관,,[]
공공취업정보 조회,취업희망자가 지방자치단체 채용담당자가 나라일터에 등록한 공공취업정보 정보를 조회할 수 있는 서비스입니다.,2016-05-31,2017-07-20,개방교류과,044-201-8355,"['채용직급 목록조회', '다음글 조회', '이전글 조회', '파일 목록 조회', '채용직급 조회', '공공취업정보 상세조회', '채용기관 목록조회', '공공취업정보 목록조회']"
부산 문화관광정보,(부산문화관광정보) 부산 관광 정보 서비스 제공,2017-05-24,2017-12-21,관광진흥과,051-888-5205,"['부산 명품관광 목록 정보 조회', '부산 명품관광 상세 정보 조회', '부산 추천여행코스 목록 정보 조회', '부산 추천여행코스 상세 정보 조회', '부산 테마여행 목록 정보 조회', '부산 테마여행 상세 정보 조회', '부산 체험여행 목록 정보 조회', '부산 체험여행 상세정보 조회', '부산 도보여행 목록 정보 조회', '부산 도보여행 상세정보 조회', '부산 테마별 관광명소 목록 정보 조회', '부산 테마별 관광명소 상세 정보 조회', '부산 테마별 쇼핑명소 목록 정보 조회', '부산 테마별 쇼핑명소 상세정보 조회', '부산 스포츠/레저 목록정보 조회', '부산 스포츠/레저 상세정보 조회', '부산 맛집 목록 정보 조회', '부산 맛집 상세 정보 조회', '부산 숙박 목록 정보 조회', '부산 숙박 상세 정보 조회']"
서부발전 발전연료 소비실적,한국서부발전 발전소별 연료 소비실적,2014-12-24,2017-01-18,IT총괄지원팀,041-400-1932,['연료소비실적']
서울특별시 대중교통 분실물 정보,"서울시 버스, 지하철, 택시에서 분실한 물품에 대한 정보를 제공합니다",2016-10-26,2016-10-27,정보시스템담당관,02-6361-3192,['서울시 대중교통 보관 분실물 사진 정보']
봉사참여정보서비스,"자원봉사를 참여정보를 조회하기 위한 서비스로서, 검색어를 이용한 통합, 기간별, 지역별, 분야별 참여정보를 조회할 수 있으며, 프로그램별 자원봉사 참여 상세정보를 제공한다.",2017-07-17,2017-07-17,민간협력과,02-2100-3764,"['봉사참여정보상세조회', '검색어봉사참여정보목록조회', '기간별봉사참여정보목록조회', '지역별봉사참여정보목록조회', '분야별봉사참여정보목록조회']"
[기타] 창업활성화 촉진 지원 아이디어 DB,"중앙부처 및 공공기관에서 주최하여 주관기관별로 산재되어 있는 아이디어 공모전 수상작들을 대상으로 통합 DB를 구축하고 특허정보넷 키프리스 및 창조경제타운 홈페이지를 통하여 검색, 열람 서비스 제공",2016-05-30,2016-06-08,정보관리과,042-481-5133,['아이디어 DB 조회(SOAP)']
부산광역시 공중화장실,부산광역시 공중화장실 정보 제공,2015-11-10,2017-08-14,정보화담당관,051-888-2369,"['공중 화장실 정보 목록 조회', '공중 화장실 정보 상세 조회']"
안산시 식품제조가공업 현황,안산시 식품제조가공업 현황,2017-05-29,2017-05-30,,,[]
버스도착정보 조회,"정류소와 노선번호을 기준으로 첫번째/두번째 도착예정 버스의 위치정보와 도착예정시간, 빈자리, 저상버스 정보를 REST, SOAP방식의 API로 제공한다.",2011-12-08,2017-12-12,교통정보과,031-8008-6834,"['버스도착정보항목조회', '버스도착정보목록조회']"
농수축산물 표준코드-조사가격 매핑정보,"2015년 제·개정된 농축수산물 표준코드(부류, 품목, 품종)와 동일한 의미를 가지는 조사가격 표준코드를 나타낸 정보",2016-01-06,2016-01-07,정보화사업본부 정보기획실,044-861-8744,"['표준품목매핑목록조회', '표준시장매핑목록조회', '표준단위매핑목록조회']"
배합사료생산실적,축종별 배합사료 생산실적 통계,2014-12-16,2014-12-18,정보화담당관,,[]
광주광역시 광주보건환경연구원 수질측정망 실태조사,광주보건환경연구원 수질 측정 월별 데이터,2015-10-27,2016-05-26,보건환경연구원 환경연구부 환경조사과,062-613-7582,['보건환경연구원 환경오염측정망 수질 정보']
오픈소스SW프로젝트정보 서비스,"오픈소스 개발자에 의해 추진되고 있는 약 600,000여개 오픈소스 프로젝트 정보제공
추진중인 오픈소스 SW 프로젝트 정보 및 상세정보 조회가 가능하다.
이를 통해 향후 오픈소스 SW 프로젝트 참여서 오픈소스 SW 라이선스에 대한 확인 및 분쟁예방을 도모할 수 있다.",2013-11-25,2014-08-05,,,"['오픈소스SW프로젝트조회', '오픈소스SW프로젝트세부정보 조회']"
구급활동통계,구급활동 정보를 개인정보를 제외한 범위에서 제공,2016-05-10,2016-05-16,119구급과,044-205-7637,['구급활동통계 정보']
한국남동발전 대기오염물질배출 정보,발전소의 대기오염물질 배출현황 정보입니다.,2016-08-23,2017-01-03,ICT융합부,070-8898-1823,['한국남동발전 대기오염물질배출 조회']
서울특별시교육청 공공도서관 소장도서정보,"서울특별시교육청 공공도서관 및 평생학습관의 소장도서 정보(표제, 저자, 발행자, 발행년, 청구기호, 소장위치, ISBN 등)를 제공하는 서비스",2014-07-01,2016-10-07,,,['도서 자료 검색']
[안전보건] 작업환경측정기관 지정현황,자체 및 지정 측정기관 현황,2015-08-21,2015-08-27,정보화센터,052-703-0724,"['목록조회', '상세조회']"
사건통계정보 서비스,사건통계 정보 및 미개정 법령현황 정보를 제공한다.,2014-05-23,2015-06-09,,,"['심판사건 총괄표 정보 조회', '심판사건 누계표 정보 조회', '청구원인별 사건누계표 정보 조회', '각하사유별 누계표 정보 조회', '위헌결정법률현황 정보 조회', '미개정 법령현황 위헌결정 정보 조회', '미개정 법령현황 헌법불합치결정 정보 조회']"
한국서부발전 발전소별 대기오염물질 배출 현황,발전소 운영에 따른 대기오염물질배출량,2014-12-24,2017-01-18,IT총괄지원팀,041-400-1932,['대기오염물질 배출량']
과실류 가공현황,"과종품별 과실류 가공실적 자료, 가공업체 현황",2014-12-01,2014-12-15,정보화담당관,,[]
도서정보,안양시 공공도서관 인기 도서대출 목록 및 도서관 이용자 희망도서 비치목록 등 도서정보 제공,2018-04-09,2018-04-11,안전행정국 정보통신과,031-8045-2088,[]
동물보호관리시스템 유기동물 조회 서비스,동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,2014-08-12,2018-03-13,동물보호과,054-912-0518,"[""유기동물조회 조회조건의 '시도'조건"", ""유기동물조회 조회조건의 '시군구'조건"", ""유기동물조회 조회조건의 '보호소'조건"", ""유기동물조회 조회조건의 '품종'조건"", '유기동물 정보를 조회']"
한국감정원 부동산 매매가격지수 현황,"부동산의 유형별로 월간, 주간 매매가격지수를 조사한 데이터",2018-01-04,2018-04-24,정보화기획부,053-663-8474,"['월별, 지역별 매매가격지수 조회']"
전군 복지 휴양시설 위치정보 목록,"군에서 운영하는 호텔, 콘도, 기숙사 등 복지시설 정보",2014-12-23,2014-12-23,"국군복지단,복지정책과",02-2225-6453,[]
부산광역시 남구 의료기관 현황,"부산 남구 의료기관 현황으로 업종별, 의료기관명, 위치, 연락처 등이 있습니다.",2016-06-14,2016-06-28,평생교육과,051-607-4304,['부산광역시 남구 의료 기관 정보 조회']
e-영상역사관 자료정보,"1953년부터 필름형태로 보관되어 오던 대한뉴스, 문화영화, 기록음성자료 등의 영상 및 사진 목록 제공",2017-06-13,2017-06-19,정책콘텐츠부,,"['대한뉴스관 목록조회', '국가기록사진 목록조회', '국가기록영상 목록조회']"
군사 용어 정보,군 업무와 과련된 일반 용어 정보,2014-12-01,2018-04-18,전쟁기념사업회,02-709-3137,[]
예비군훈련장 안내,"예비군부대 연락처, 위치 정보 등",2014-12-23,2014-12-23,예비전력과,02-748-5243,[]
연도별 세입/수입 예산현황 (총액),"세입/수입 예산편성 현황(총약), 기금운용계획안",2015-07-09,2015-07-10,정보화담당관실,02-2150-2616,['총예산']
남부발전 발전소 통합 발전정보,남부발전의 발전소별 통합 발전정보(발전현황 및 발전소 주변 정보),2017-09-27,2017-09-28,미래산업전략부,070-7713-8655,['발전실적 조회 서비스']
제주특별자치도 제주시_민박펜션정보,제주시 민박 펜션 정보입니다.,2017-10-13,2017-10-16,정보화지원과,064-728-2292,['제주시 농어촌 민박 정보 조회']
경기도 식품관련 업체 현황,경기도 내의,2017-10-19,2017-10-31,빅데이터담당관,031-8008-2895,[]
도시철도 CCTV 현황,대전도시철도 CCTV 설치 현황 등,2016-09-08,2017-10-30,정보화팀,070-8278-1364,['CCTV정보조회']
서울특별시 도서관 정보,서울시에 있는 도서관 현황 정보를 제공합니다.,2016-10-27,2016-11-01,정보시스템담당관,02-6361-3192,['서울도서관 소장자료 현황']
버스위치정보 조회,"해당 노선의 운행차량에 대한 현재 위치(정류소)와 막차, 저상버스 여부 등에 대한 실시간 운행정보를 REST, SOAP방식의 API로제공한다.",2011-12-08,2017-01-23,교통정보과,031-8008-6834,['버스위치정보목록조회']
부산시 전통시장 현황,"전통시장의 시장명, 소재지, 관리주체, 주 판매상품, 개설년도 등",2015-11-10,2017-08-14,경제기획과,051-888-4741,"['전통시장 정보 목록 조회', '전통시장 정보 상세 조회']"
신재생에너지 건설 및 개발 정보,한국중부발전(주) 신재생에너지 건설 및 개발 정보입니다.,2017-11-14,2017-11-16,ICT기획부,070-7511-1613,['중부발전 신재생에너지 발전소 건설현황']
공기질측정 정보,부산 도시철도 공기질 측정결과,2017-11-15,2017-11-17,기획조정실 정보화단,051-640-7174,"['측정년도, 역코드별 공기질 측정 결과 조회']"
부산광역시 영도구_공장등록현황,"영도구 관내 공장등록 현황, 생산품 등 정보 입니다.",2014-12-02,2014-12-05,경제진흥과,051-643-4160,['등록된 공장 목록 조회']
티켓할인조회서비스,티켓할인조회서비스,2011-12-03,2013-09-09,-,,"['티켓할인서비스목록조회', '티켓할인서비스상세정보조회']"
공유(만료)저작물 서비스,"향후 발생가능한 저작권 분쟁을 예방하기 위해 약 160,000건의 저작권정보를 활용하여 만료된 이미지, 멀티미디어, 텍스트 저작물에 대한 정보 제공 및
만료된 이미지, 멀티미디어, 텍스트 저작물에 대한 목록과 상세정보를 조회할 수 있다.",2013-11-25,2017-10-18,,,"['이미지 만료저작물목록 조회', '이미지 만료저작물상세 조회', '멀티미디어 만료저작물목록 조회', '멀티미디어 만료저작물상세 조회', '텍스트만료저작물목록 조회', '텍스트만료저작물상세 조회']"
국내우편물 종적 조회 서비스,우정사업본부에서는 국내등기 우편물에 대한 건별 종적조회 기능을 제공합니다,2011-12-03,2018-03-06,정보센터 우편정보과,061-338-2226,['건별국내등기종적조회']
보훈병원 비급여 정보,보훈병원 이용시 비급여 수가 정보를 제공함으로써 보훈병원 정보 접근성을 높이고 비급여 수가를 사전에 확인함으로서 환자의 권리 보호에 기여,2015-01-29,2017-10-25,정보지원팀,033-749-3693,['보훈병원 비급여 수가 정보 조회']
울산광역시 CCTV,"울산광역시 CCTV 정보(관리기관,소재지주소,카메라대수) 제공",2015-10-31,2018-05-09,스마트시티담당관,052-229-2361,"['CCTV 설치운영 현황 목록', 'CCTV 설치운영 현황 상세보기']"
공급인증서(REC) 기준가격 정보,한국중부발전(주) 신재생에너지 거래 정보입니다.,2017-11-14,2017-11-16,ICT기획부,070-7511-1613,['신재생에너지 현물거래 목록 조회']
연료도입 현황,연료도입 현황,2014-12-24,2017-01-18,IT총괄지원팀,041-400-1932,['연료도입실적']
동네예보통보문정보조회서비스,"생활기상정보에 동네예보정보 중 기상개황, 육상예보, 해상예보 정보를 조회하는 서비스입니다",2013-01-06,2018-04-20,정보통신기술과,,"['기상개황조회', '육상예보조회', '해상예보조회']"
문화재청 종목별 문화재 정보,문화재 종목을 기준으로 문화재 설명 및 부가정보를 조회하는 서비스,2011-12-03,2014-07-22,정보화담당관실,042-481-4762,"['문화재 지정종목별 상세조회', '문화재 지정종목별 이미지조회', '문화재 지정종목별 목록조회']"
세종특별자치시 병의원 현황,"세종시 의원(의원,치과의원,한의원)",2016-02-17,2017-12-04,정보화담당관실,044-300-2423,['세종시 의원 목록']
울산광역시 기업현황,"울산광역시 기업현황(회사명,소재지,전화번호) 제공",2016-03-09,2018-05-09,스마트시티담당관,052-229-2361,['울산시 기업정보 목록']
119 신고접수 관련 현황,"119 신고 전반에 관한 접수 현황
- 화재 구조 구급 등
- 기타 119 생활안전
- 전국 소방본부 각종 신고 현황",2016-05-10,2016-05-16,119종합상황실,02-2100-5551,['119안전신고센터 신고접수 정보']
연도별 세입/수입 결산현황,"연도별, 회계별 세입결산 현황, 기금별 수입지출 결산현황,",2015-07-13,2015-07-14,정보화담당관실,02-2150-2616,['기금별 수입지출 현황']
문화행사일정,"광주광역시에서 개최되는 각종 행사(전시회, 공연 등) 정보",2015-10-27,2016-05-26,문화예술진흥과,062-613-3464,['시대표홈페이지 통합예약신청 목록 정보']
해외이주서비스,해외이주서비스,2016-01-06,2017-08-30,재외국민보호과,02-2100-7588,['해외이주알선업체']
예술지식 카테고리 정보 서비스,"한국문화정보센터에서 제공하고있는 예술지식 디렉토리의 분류체계 정보를 제공한다.
예술지식 카테고리 정보서비스는 예술지식 연극정보, 음악정보, 무용정보, 미술정보, 영상정보, 문학정보, 건축정보, 축제문화정보서비스의 목록 및 상세정보 조회시 카테코리 분류체계를 먼저 조회하고 이를 이용하여 조회할 수 있다.",2013-11-27,2014-01-08,NONE,,['카테고리 목록 조회']
한국정책방송 영상 서비스 정보,"KTV 한국정책방송 채널에서 방송한 정책뉴스, 정책공공, 문화교양 프로그램 목록 제공(자체 저작권 보유 영상에 한함)",2016-10-21,2016-11-03,정책콘텐츠부,,['영상정보목록조회']
농수축산물 도매시장 상세 경락가격,"전국 도매시장에서 거래되는 농산물, 수산물, 축산물의 경매낙찰가격과 거래되는 상품들에 대한 정산 거래 상세 정보",2016-01-06,2016-01-07,정보화사업본부 정보기획실,044-861-8744,"['원천정산경락가격품목목록조회', '원천정산경락가격도매시장목록조회', '원천실시간경락가격품목목록조회', '원천실시간경락가격도매시장목록조회']"
한국주택금융공사 주택저당증권(MBS) 현황,주택저당증권(MBS) 현황,2014-12-22,2014-12-23,.,,['MBS발행금리정보']
국가별 안전정보,"* 각 공관에서 실시간 업데이트 되는 국가별 최신 안전정보 제공


예) 미국, 「넉아웃 게임」주의

ㅇ 「넉아웃게임」이라 불리는 범행은 우연히 그 곳을 지나가는 보행자를 갑자기 구타해, 상대를 한방에 넉아웃시킬 수 있는지를 게임 감각으로 행하는 범죄로, 일부지역 젊은이들 사이에서 행해지고 있음. 공격은 젊은 그룹 중 1명이 실행하고, 다른 멤버는 지켜봄.


ㅇ 수도 워싱턴의 콜롬비아 하이츠 지구에서는 11월14일 저녁, 걷고 있던 여성에게 뒤에서 자전거를 탄 8명 그룹이 다가와 그 중 1명이 갑자기 여성 후두부를 때려 다치게 함. 또, 다음날 저녁에도 같은 지구에서 비슷한 사건이 발생해, 남성이 피해를 당함. 미주리 주의 세인트루이스와 뉴욕 주의 시라큐스에서는 피해자가 사망한 사건도 발생함.


ㅇ 범행은 묻지마 식으로 무작위로 행해진다고 하니, 신변안전에 각별히 유의.


▽ 정면에서 다가오는 젊은 그룹과는 되도록 거리를 둘 것
▽ 뒤에서 접근해오는 젊은이나 자전거에 주의할 것
▽ 야간과 이른 아침 외출 시에는 가급적 여럿이 행동할 것
▽ 인적이 드문 곳과 어두운 곳 통행은 삼갈 것",2016-01-04,2017-10-24,재외국민보호과,02-2100-7588,"['국가별 안전정보 목록조회', '국가별 안전정보 단일조회']"
부산 도시철도 역사 정보,부산 도시철도 역별 정보를 조회하는 서비스,2014-08-25,2017-06-16,기획조정실 정보화단,051-640-7174,['부산 도시철도 역사 정보']
관심서비스관리,관심서비스관리,2011-12-06,2014-07-24,국민신문고과,044-200-7265,"['관심기관 등록 수정 삭제', '나의정책토론 삭제', '관심기관 조회', '알림서비스내용 조회', '알림서비스 설정']"
서울특별시 공원 정보,서울에 있는 공원 및 공원 프로그램 정보를 제공합니다.,2016-10-26,2016-10-27,정보시스템담당관,02-6361-3192,['서울의공원 주소별 공원 프로그램 조회']
서울특별시 상권분석서비스 정보,서울시가 이미 보유하고 있거나 외부 기관과 협력하여 확보한 상권 관련 빅데이터를 토대로 자영업자가 가장 많이 창업하고 있는 43개의 생활밀착업종을 선별하여 업종별 다양한 정보를 상권단위로 제공하고 있습니다.,2017-12-28,2018-01-04,통계데이터담당관,02-2133-4271,[]
전통시장현황,"시군별 전통시장명, 소재지, 면적, 점포수, 주차장보유대수, 활성화정도 서비스",2014-12-24,2014-12-24,중소기업과,061-286-3781,"['재래시장(5일장) 명소 목록', '재래시장(5일장) 명소 상세정보', '재래시장(5일장) 명소 이미지정보']"
사회서비스 제공기관 품질평가 정보,사회서비스를 제공하는 서비스 제공기관에 대한 연도별 품질평가 결과정보,2015-01-29,2017-03-15,사회서비스정보부,02-6360-6213,['사회서비스 제공기관 품질평가 정보 조회']
경기도 수원시 어린이집,"경기도 수원시 어린이집 현황(유형, 정원수, 소재지 등)",2015-12-28,2016-02-16,-,031-228-2306,['수원시 어린이집 정보']
토지분양 정보,"수자원공사에서 분양하는 토지정보 제공. 용도별, 사업지구별 진행중인 토지분양 정보",2014-12-22,2017-12-15,-,,['토지분양 정보 조회']
도시철도 편의시설현황,"대전도시철도 역사 화장실 현황, 역사 종합 안내도 설치 현황 등",2016-09-08,2017-10-30,정보화팀,070-8278-1364,['공중화장실정보조회']
농기계보유현황,"트랙터, 콤바인, 이앙기 등 8종의 주요 농기계 보유대수 자료",2014-12-16,2014-12-18,정보화담당관,,[]
고속도로 영업소간 교통량 현황,고속도로 영업소간 교통량 현황,2015-11-26,2017-12-27,ICT센터,031-8098-6727,['통행거리별 교통량']
경륜 통계,"경륜사업 관련 통계자료(배당률, 매출액, 선수, 경주결과)",2015-12-08,2017-09-18,정보기획팀,02-410-1261,['경륜 선수정보 목록조회']
서울특별시 공공서비스예약 정보,"서울시 및 산하기관, 자치구의 체육시설, 시설대관, 교육, 문화행사, 진료 등의 상세 예약정보를 제공합니다",2016-10-26,2016-10-27,정보시스템담당관,02-6361-3192,['서울시 공공서비스예약 정보']
고속도로 영업소 현황,고속도로 영업소 현황,2014-12-15,2017-06-01,ICT센터,031-8098-6727,['톨게이트 목록 현황']
인빌체험정보조회서비스,"전국에 위치한 정보화 마을의 체험정보를 제공하는 서비스로서 농촌체험, 주말농장, 테마여행, 숙박예약등의 목록및 상세 정보를 조회 할수 있다.",2012-12-06,2016-11-29,지역정보지원과,02-2100-3926,"['주말농장목록조회', '주말농장상세조회', '주말농장 분양상품 목록조회', '테마여행 목록 조회', '테마여행 상세 조회', '숙박예약 목록 조회', '숙박예약 상세정보 조회', '숙박예약 객실정보및 예약하기', '숙박예약현황 목록조회', '필수 부가서비스 정보 조회', '선택 부가서비스 정보 조회', '농촌체험목록조회', '농촌체험상세조회', '인빌체험 이미지 목록 조회']"
한국시설안전공단 시설물 통계 정보,"시설물의 시도별, 민간공공부문별 현황 통계 정보 제공",2017-12-28,2018-01-04,운영지원실,031-910-4022,"['시설물 시도별 통계', '시설물 민간 공공 부문별 통계']"
고속도로 건설 도로시설물 관련 정보,"고속도로 건설시 도로시설물 중 배수관, 석축, 옹벽 등 데이터 제공",2017-06-09,2017-12-27,ICT센터,031-8098-6727,['AVC 설치정보']
한국직업능력개발원 기본연구보고서,한국직업능력개발원 기본연구과제 수행을 통하여 산출된 연구결과보고서,2017-04-25,2017-04-27,정보자료팀,044-415-5225,[]
강원도 숙박 안내,스마트강원(토스트) 숙박안내,2014-09-30,2014-10-06,,,[]
대한무역투자진흥공사 해외전시회 정보,KOTRA 125개 무역관에서 등록하는 글로벌전시포털(www.gep.or.kr)의 해외전시회 정보를 활용할 수 있도록 API를 제공하는 서비스,2016-09-06,2018-01-04,기획팀,,['해외전시회 정보 조회']
특구입주기업현황,특구 입주기업 및 기관현황,2018-05-16,2018-05-18,운영지원팀,042-865-8892,['입주기업조회']
[특허] 특허/실용신안 공보,"1. 개요
한국 특허의 특허 / 실용신안 공개공보 및 등록공보로서 서지, 대표도, 전문정보를 대용량으로 제공합니다.

2. 세부 정보 내용
① 전문데이터: PDF 공보, Tiff 공보
② 이미지데이터: 대표도(PDF, Tiff, JPG)
③ 서지데이터: 출원번호, 청구항 수, 등록번호, IPC 등(TXT)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr
※ 하단에 제공되는 데이터는 샘플입니다. 전체 이용을 원하시는 경우, 안내 홈페이지로 이동하여 상세정보를 확인하십시오.(http://plus.kipris.or.kr)",2017-04-26,2017-04-28,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,[]
부산광역시 남구 약국 현황,"부산 남구 약국 현황으로 약국명칭, 위치, 연락처, 등록일자 등이 있습니다.",2016-06-14,2016-06-28,보건소,051-607-6431,['부산광역시 남구 약국 정보 조회']
월별 집합건물(아파트/상가) 사업장 공정율 현황,"주택도시보증공사가 보유한 전국에 진행중인 집합건물(아파트, 상가) 사업장 공정율 현황",2017-02-15,2017-02-16,일자리창출전략처,055-955-5746,[]
법제처 국가법령정보 공유서비스,법제처의 국가법령정보통합관리시스템에서는 OPEN API서비스를 통해 국가법령정보센터의 모든 법령정보를 원하는 유형으로 활용하실수 있습니다.,2018-05-11,2018-05-11,법제정보과,044-200-6786,"['법령정보 목록 조회', '행정규칙정보 목록 조회', '자치법규정보 목록 조회', '법령해석례정보 목록 조회', '헌재결정례정보 목록 조회', '별표서식정보 목록 조회', '법령용어정보 목록 조회', '조약정보 목록 조회']"
대구 대기정보,"대구 대기측정자료 제공(미세먼지, 오존, 이산화질소, 일산화탄소, 아황산가스)",2016-10-27,2016-10-27,환경정책과,053-803-4194,['대기질 일평균농도']
국가보훈처 현충시설 정보,"국가유공자의 정신을 기리기 위한 현충시설(건축물, 조형물, 사적지, 시설)에 대한 국내외 정보를 제공
독립운동과 국가수호 관련 시설로 구분하여 위치정보(기념관, 탑, 비석, 생가, 장소) 제공",2016-02-04,2016-02-19,현충시설과,044-202-5573,['현충시설정보']
부산광역시 남구 동물병원 현황,동물병원 현황,2016-06-14,2017-11-23,평생교육과,051-607-4304,['부산광역시 남구 동물병원 정보 조회']
